Date,Winning Numbers,Winning Numbers
"Sat, Dec 05, 1992",['\n\n09\n23\n24\n25\n31\n38\n43\n46\n48\n53\n56\n61\n62\n65\n67\n68\n70\n72\n75\n77\n\n'],   09 23 24 25 31 38 43 46 48 53 56 61 62 65 67 68 70 72 75 77   
"Fri, Dec 04, 1992",['\n\n02\n08\n09\n15\n18\n23\n29\n30\n32\n35\n36\n42\n43\n50\n52\n56\n64\n67\n72\n78\n\n'],   02 08 09 15 18 23 29 30 32 35 36 42 43 50 52 56 64 67 72 78   
"Thu, Dec 03, 1992",['\n\n02\n07\n09\n11\n13\n16\n20\n23\n24\n26\n31\n33\n36\n37\n44\n55\n61\n63\n69\n70\n\n'],   02 07 09 11 13 16 20 23 24 26 31 33 36 37 44 55 61 63 69 70   
"Wed, Dec 02, 1992",['\n\n01\n06\n07\n11\n21\n22\n29\n31\n32\n35\n37\n38\n49\n53\n56\n61\n63\n68\n72\n77\n\n'],   01 06 07 11 21 22 29 31 32 35 37 38 49 53 56 61 63 68 72 77   
"Tue, Dec 01, 1992",['\n\n03\n06\n08\n11\n24\n27\n32\n33\n36\n42\n43\n47\n54\n55\n61\n65\n71\n72\n77\n80\n\n'],   03 06 08 11 24 27 32 33 36 42 43 47 54 55 61 65 71 72 77 80   
"Mon, Nov 30, 1992",['\n\n02\n06\n10\n12\n16\n17\n23\n30\n37\n46\n48\n55\n56\n59\n61\n63\n66\n70\n78\n80\n\n'],   02 06 10 12 16 17 23 30 37 46 48 55 56 59 61 63 66 70 78 80   
"Sun, Nov 29, 1992",['\n\n01\n06\n10\n11\n13\n20\n21\n22\n23\n35\n37\n49\n50\n56\n60\n64\n65\n68\n75\n76\n\n'],   01 06 10 11 13 20 21 22 23 35 37 49 50 56 60 64 65 68 75 76   
"Sat, Nov 28, 1992",['\n\n03\n06\n08\n09\n11\n13\n15\n17\n21\n28\n33\n39\n48\n51\n56\n57\n62\n67\n68\n80\n\n'],   03 06 08 09 11 13 15 17 21 28 33 39 48 51 56 57 62 67 68 80   
"Fri, Nov 27, 1992",['\n\n13\n15\n17\n18\n21\n22\n23\n24\n29\n32\n33\n42\n61\n62\n64\n66\n72\n75\n76\n77\n\n'],   13 15 17 18 21 22 23 24 29 32 33 42 61 62 64 66 72 75 76 77   
"Thu, Nov 26, 1992",['\n\n01\n09\n11\n12\n19\n35\n37\n39\n42\n43\n48\n49\n54\n55\n59\n68\n69\n71\n73\n75\n\n'],   01 09 11 12 19 35 37 39 42 43 48 49 54 55 59 68 69 71 73 75   
"Wed, Nov 25, 1992",['\n\n03\n04\n10\n12\n13\n18\n19\n21\n27\n28\n29\n32\n35\n40\n53\n63\n69\n70\n73\n74\n\n'],   03 04 10 12 13 18 19 21 27 28 29 32 35 40 53 63 69 70 73 74   
"Tue, Nov 24, 1992",['\n\n04\n06\n07\n08\n11\n13\n21\n31\n33\n34\n45\n46\n56\n59\n60\n64\n66\n70\n72\n75\n\n'],   04 06 07 08 11 13 21 31 33 34 45 46 56 59 60 64 66 70 72 75   
