Date,Winning Numbers,Winning Numbers
"Fri, Jan 01, 1993",['\n\n03\n07\n15\n16\n26\n28\n30\n33\n37\n40\n43\n44\n55\n59\n61\n62\n63\n67\n74\n75\n\n'],   03 07 15 16 26 28 30 33 37 40 43 44 55 59 61 62 63 67 74 75   
"Sat, Dec 31, 1994",['\n\n02\n06\n07\n20\n26\n29\n31\n32\n39\n40\n46\n47\n51\n54\n57\n60\n65\n68\n70\n77\n\n'],   02 06 07 20 26 29 31 32 39 40 46 47 51 54 57 60 65 68 70 77   
"Fri, Dec 30, 1994",['\n\n02\n14\n16\n24\n25\n26\n33\n37\n42\n45\n47\n52\n54\n55\n56\n62\n64\n65\n75\n77\n\n'],   02 14 16 24 25 26 33 37 42 45 47 52 54 55 56 62 64 65 75 77   
"Thu, Dec 29, 1994",['\n\n02\n03\n05\n21\n25\n31\n33\n37\n40\n42\n45\n46\n50\n60\n62\n64\n66\n71\n73\n80\n\n'],   02 03 05 21 25 31 33 37 40 42 45 46 50 60 62 64 66 71 73 80   
"Wed, Dec 28, 1994",['\n\n03\n07\n17\n23\n32\n33\n34\n35\n36\n44\n45\n47\n48\n54\n67\n70\n72\n73\n78\n79\n\n'],   03 07 17 23 32 33 34 35 36 44 45 47 48 54 67 70 72 73 78 79   
"Tue, Dec 27, 1994",['\n\n01\n04\n07\n10\n13\n15\n16\n30\n31\n32\n34\n52\n60\n62\n64\n66\n69\n71\n76\n80\n\n'],   01 04 07 10 13 15 16 30 31 32 34 52 60 62 64 66 69 71 76 80   
"Mon, Dec 26, 1994",['\n\n04\n05\n09\n11\n14\n20\n22\n23\n28\n30\n32\n33\n39\n55\n57\n66\n68\n71\n73\n78\n\n'],   04 05 09 11 14 20 22 23 28 30 32 33 39 55 57 66 68 71 73 78   
"Sat, Dec 24, 1994",['\n\n03\n04\n12\n13\n14\n18\n24\n25\n29\n33\n40\n43\n44\n50\n52\n58\n65\n70\n79\n80\n\n'],   03 04 12 13 14 18 24 25 29 33 40 43 44 50 52 58 65 70 79 80   
"Fri, Dec 23, 1994",['\n\n02\n15\n17\n19\n26\n27\n35\n38\n39\n40\n43\n50\n54\n58\n62\n64\n66\n72\n75\n77\n\n'],   02 15 17 19 26 27 35 38 39 40 43 50 54 58 62 64 66 72 75 77   
"Thu, Dec 22, 1994",['\n\n04\n07\n11\n17\n23\n25\n27\n31\n33\n40\n46\n47\n49\n50\n55\n66\n67\n71\n75\n77\n\n'],   04 07 11 17 23 25 27 31 33 40 46 47 49 50 55 66 67 71 75 77   
"Wed, Dec 21, 1994",['\n\n03\n06\n07\n09\n10\n14\n23\n26\n28\n39\n45\n47\n48\n54\n55\n59\n66\n69\n73\n79\n\n'],   03 06 07 09 10 14 23 26 28 39 45 47 48 54 55 59 66 69 73 79   
"Tue, Dec 20, 1994",['\n\n02\n08\n09\n11\n15\n18\n22\n29\n32\n34\n36\n40\n44\n50\n53\n56\n64\n67\n70\n77\n\n'],   02 08 09 11 15 18 22 29 32 34 36 40 44 50 53 56 64 67 70 77   
"Mon, Dec 19, 1994",['\n\n03\n05\n07\n08\n09\n15\n21\n23\n29\n32\n42\n52\n54\n60\n61\n64\n68\n77\n79\n80\n\n'],   03 05 07 08 09 15 21 23 29 32 42 52 54 60 61 64 68 77 79 80   
"Sun, Dec 18, 1994",['\n\n01\n05\n11\n20\n22\n27\n29\n35\n37\n40\n41\n46\n51\n53\n57\n62\n69\n74\n75\n78\n\n'],   01 05 11 20 22 27 29 35 37 40 41 46 51 53 57 62 69 74 75 78   
"Sat, Dec 17, 1994",['\n\n05\n06\n10\n30\n36\n40\n42\n50\n51\n53\n55\n56\n64\n65\n66\n67\n68\n71\n79\n80\n\n'],   05 06 10 30 36 40 42 50 51 53 55 56 64 65 66 67 68 71 79 80   
"Fri, Dec 16, 1994",['\n\n01\n06\n09\n12\n18\n21\n23\n24\n34\n41\n45\n50\n55\n56\n59\n62\n74\n75\n79\n80\n\n'],   01 06 09 12 18 21 23 24 34 41 45 50 55 56 59 62 74 75 79 80   
"Thu, Dec 15, 1994",['\n\n02\n03\n04\n05\n06\n23\n43\n45\n47\n51\n53\n56\n57\n59\n63\n66\n69\n75\n76\n77\n\n'],   02 03 04 05 06 23 43 45 47 51 53 56 57 59 63 66 69 75 76 77   
"Wed, Dec 14, 1994",['\n\n01\n03\n11\n23\n25\n36\n37\n38\n39\n41\n42\n43\n47\n55\n62\n70\n77\n78\n79\n80\n\n'],   01 03 11 23 25 36 37 38 39 41 42 43 47 55 62 70 77 78 79 80   
"Tue, Dec 13, 1994",['\n\n01\n04\n08\n09\n10\n11\n14\n19\n21\n23\n24\n30\n35\n39\n45\n66\n68\n69\n77\n78\n\n'],   01 04 08 09 10 11 14 19 21 23 24 30 35 39 45 66 68 69 77 78   
"Mon, Dec 12, 1994",['\n\n05\n12\n13\n18\n20\n25\n28\n30\n37\n42\n48\n49\n52\n59\n61\n62\n65\n70\n77\n78\n\n'],   05 12 13 18 20 25 28 30 37 42 48 49 52 59 61 62 65 70 77 78   
"Sun, Dec 11, 1994",['\n\n01\n02\n16\n23\n25\n31\n32\n33\n34\n35\n41\n43\n45\n48\n52\n53\n65\n66\n69\n79\n\n'],   01 02 16 23 25 31 32 33 34 35 41 43 45 48 52 53 65 66 69 79   
"Sat, Dec 10, 1994",['\n\n04\n10\n16\n22\n24\n29\n30\n33\n37\n40\n52\n60\n64\n66\n68\n70\n71\n72\n76\n79\n\n'],   04 10 16 22 24 29 30 33 37 40 52 60 64 66 68 70 71 72 76 79   
"Fri, Dec 09, 1994",['\n\n08\n09\n10\n11\n13\n16\n26\n34\n37\n48\n56\n59\n63\n64\n65\n67\n68\n70\n72\n77\n\n'],   08 09 10 11 13 16 26 34 37 48 56 59 63 64 65 67 68 70 72 77   
"Thu, Dec 08, 1994",['\n\n01\n05\n06\n07\n10\n16\n18\n29\n36\n37\n46\n47\n54\n55\n57\n62\n63\n69\n71\n75\n\n'],   01 05 06 07 10 16 18 29 36 37 46 47 54 55 57 62 63 69 71 75   
"Wed, Dec 07, 1994",['\n\n03\n09\n11\n14\n21\n29\n32\n33\n34\n38\n39\n45\n46\n51\n53\n54\n66\n75\n78\n80\n\n'],   03 09 11 14 21 29 32 33 34 38 39 45 46 51 53 54 66 75 78 80   
"Tue, Dec 06, 1994",['\n\n03\n09\n10\n12\n13\n19\n22\n27\n29\n41\n44\n48\n49\n53\n54\n56\n62\n67\n69\n71\n\n'],   03 09 10 12 13 19 22 27 29 41 44 48 49 53 54 56 62 67 69 71   
"Mon, Dec 05, 1994",['\n\n02\n05\n07\n08\n11\n12\n13\n14\n16\n22\n25\n26\n31\n42\n52\n58\n63\n66\n69\n79\n\n'],   02 05 07 08 11 12 13 14 16 22 25 26 31 42 52 58 63 66 69 79   
"Sun, Dec 04, 1994",['\n\n04\n11\n12\n18\n21\n22\n27\n29\n32\n39\n42\n44\n48\n56\n61\n62\n66\n69\n74\n77\n\n'],   04 11 12 18 21 22 27 29 32 39 42 44 48 56 61 62 66 69 74 77   
"Sat, Dec 03, 1994",['\n\n02\n09\n13\n16\n17\n19\n21\n22\n25\n33\n38\n43\n44\n46\n48\n49\n65\n66\n71\n79\n\n'],   02 09 13 16 17 19 21 22 25 33 38 43 44 46 48 49 65 66 71 79   
"Fri, Dec 02, 1994",['\n\n01\n03\n05\n07\n09\n12\n18\n27\n38\n39\n40\n43\n46\n54\n60\n67\n68\n73\n76\n80\n\n'],   01 03 05 07 09 12 18 27 38 39 40 43 46 54 60 67 68 73 76 80   
"Thu, Dec 01, 1994",['\n\n01\n04\n05\n16\n21\n22\n27\n31\n33\n38\n45\n48\n55\n61\n62\n63\n75\n76\n77\n78\n\n'],   01 04 05 16 21 22 27 31 33 38 45 48 55 61 62 63 75 76 77 78   
"Wed, Nov 30, 1994",['\n\n01\n04\n06\n13\n15\n16\n21\n27\n28\n34\n35\n37\n38\n43\n46\n53\n63\n64\n65\n69\n\n'],   01 04 06 13 15 16 21 27 28 34 35 37 38 43 46 53 63 64 65 69   
"Tue, Nov 29, 1994",['\n\n04\n07\n08\n13\n17\n19\n25\n32\n37\n44\n50\n51\n52\n56\n59\n68\n70\n73\n75\n80\n\n'],   04 07 08 13 17 19 25 32 37 44 50 51 52 56 59 68 70 73 75 80   
"Mon, Nov 28, 1994",['\n\n04\n09\n10\n23\n28\n34\n35\n37\n38\n42\n45\n50\n54\n56\n57\n60\n63\n71\n74\n79\n\n'],   04 09 10 23 28 34 35 37 38 42 45 50 54 56 57 60 63 71 74 79   
"Sun, Nov 27, 1994",['\n\n03\n04\n14\n15\n18\n20\n29\n40\n42\n43\n46\n52\n53\n57\n59\n61\n68\n71\n72\n78\n\n'],   03 04 14 15 18 20 29 40 42 43 46 52 53 57 59 61 68 71 72 78   
"Sat, Nov 26, 1994",['\n\n06\n07\n08\n09\n10\n11\n18\n22\n26\n29\n36\n38\n48\n51\n56\n58\n67\n68\n77\n78\n\n'],   06 07 08 09 10 11 18 22 26 29 36 38 48 51 56 58 67 68 77 78   
"Fri, Nov 25, 1994",['\n\n01\n03\n07\n09\n14\n20\n21\n22\n24\n28\n31\n37\n43\n49\n50\n54\n60\n65\n68\n71\n\n'],   01 03 07 09 14 20 21 22 24 28 31 37 43 49 50 54 60 65 68 71   
"Thu, Nov 24, 1994",['\n\n08\n09\n11\n12\n16\n21\n22\n32\n35\n38\n40\n46\n47\n49\n59\n65\n68\n75\n77\n78\n\n'],   08 09 11 12 16 21 22 32 35 38 40 46 47 49 59 65 68 75 77 78   
"Wed, Nov 23, 1994",['\n\n08\n09\n13\n15\n22\n24\n26\n27\n32\n34\n38\n39\n48\n58\n59\n62\n65\n66\n76\n78\n\n'],   08 09 13 15 22 24 26 27 32 34 38 39 48 58 59 62 65 66 76 78   
"Tue, Nov 22, 1994",['\n\n02\n07\n10\n14\n17\n19\n21\n25\n27\n31\n38\n43\n46\n47\n49\n52\n54\n58\n67\n78\n\n'],   02 07 10 14 17 19 21 25 27 31 38 43 46 47 49 52 54 58 67 78   
"Mon, Nov 21, 1994",['\n\n14\n17\n18\n19\n21\n24\n32\n34\n37\n39\n44\n48\n52\n53\n56\n61\n67\n72\n74\n76\n\n'],   14 17 18 19 21 24 32 34 37 39 44 48 52 53 56 61 67 72 74 76   
"Sun, Nov 20, 1994",['\n\n01\n02\n07\n08\n15\n21\n38\n39\n45\n48\n53\n55\n58\n59\n60\n65\n70\n72\n78\n80\n\n'],   01 02 07 08 15 21 38 39 45 48 53 55 58 59 60 65 70 72 78 80   
"Sat, Nov 19, 1994",['\n\n09\n10\n20\n21\n24\n28\n32\n36\n39\n43\n46\n47\n55\n57\n59\n65\n66\n70\n73\n78\n\n'],   09 10 20 21 24 28 32 36 39 43 46 47 55 57 59 65 66 70 73 78   
"Fri, Nov 18, 1994",['\n\n01\n06\n08\n09\n10\n14\n15\n19\n25\n26\n30\n32\n43\n48\n52\n53\n56\n59\n63\n73\n\n'],   01 06 08 09 10 14 15 19 25 26 30 32 43 48 52 53 56 59 63 73   
"Thu, Nov 17, 1994",['\n\n03\n04\n08\n12\n13\n17\n18\n23\n29\n30\n31\n32\n34\n36\n41\n58\n68\n69\n74\n76\n\n'],   03 04 08 12 13 17 18 23 29 30 31 32 34 36 41 58 68 69 74 76   
"Wed, Nov 16, 1994",['\n\n04\n05\n13\n15\n24\n25\n26\n33\n34\n38\n39\n43\n44\n45\n48\n53\n61\n67\n68\n69\n\n'],   04 05 13 15 24 25 26 33 34 38 39 43 44 45 48 53 61 67 68 69   
"Tue, Nov 15, 1994",['\n\n04\n18\n22\n27\n29\n32\n33\n36\n37\n40\n41\n44\n48\n55\n59\n69\n70\n73\n76\n79\n\n'],   04 18 22 27 29 32 33 36 37 40 41 44 48 55 59 69 70 73 76 79   
"Mon, Nov 14, 1994",['\n\n01\n02\n08\n10\n11\n12\n17\n32\n33\n45\n47\n48\n57\n60\n61\n62\n69\n76\n77\n79\n\n'],   01 02 08 10 11 12 17 32 33 45 47 48 57 60 61 62 69 76 77 79   
"Sun, Nov 13, 1994",['\n\n04\n06\n11\n16\n25\n31\n32\n34\n41\n42\n47\n49\n61\n62\n64\n65\n69\n72\n75\n78\n\n'],   04 06 11 16 25 31 32 34 41 42 47 49 61 62 64 65 69 72 75 78   
"Sat, Nov 12, 1994",['\n\n05\n06\n07\n09\n10\n18\n24\n25\n26\n40\n42\n43\n46\n53\n58\n62\n66\n70\n71\n79\n\n'],   05 06 07 09 10 18 24 25 26 40 42 43 46 53 58 62 66 70 71 79   
"Fri, Nov 11, 1994",['\n\n02\n03\n04\n11\n15\n18\n24\n26\n30\n34\n39\n53\n56\n60\n64\n65\n67\n72\n73\n80\n\n'],   02 03 04 11 15 18 24 26 30 34 39 53 56 60 64 65 67 72 73 80   
"Thu, Nov 10, 1994",['\n\n04\n05\n17\n29\n31\n35\n42\n44\n46\n50\n51\n54\n61\n62\n63\n66\n68\n70\n71\n75\n\n'],   04 05 17 29 31 35 42 44 46 50 51 54 61 62 63 66 68 70 71 75   
"Wed, Nov 09, 1994",['\n\n05\n06\n08\n12\n16\n18\n24\n37\n39\n40\n41\n45\n46\n49\n50\n57\n58\n62\n77\n80\n\n'],   05 06 08 12 16 18 24 37 39 40 41 45 46 49 50 57 58 62 77 80   
"Tue, Nov 08, 1994",['\n\n01\n13\n14\n16\n20\n24\n25\n30\n34\n35\n39\n46\n48\n53\n55\n57\n69\n70\n71\n73\n\n'],   01 13 14 16 20 24 25 30 34 35 39 46 48 53 55 57 69 70 71 73   
"Mon, Nov 07, 1994",['\n\n02\n07\n14\n17\n20\n21\n32\n33\n35\n36\n39\n41\n50\n53\n56\n57\n64\n67\n75\n78\n\n'],   02 07 14 17 20 21 32 33 35 36 39 41 50 53 56 57 64 67 75 78   
"Sun, Nov 06, 1994",['\n\n01\n06\n12\n23\n25\n28\n29\n30\n32\n40\n41\n44\n47\n49\n50\n67\n68\n69\n72\n74\n\n'],   01 06 12 23 25 28 29 30 32 40 41 44 47 49 50 67 68 69 72 74   
"Sat, Nov 05, 1994",['\n\n06\n10\n13\n14\n15\n17\n21\n22\n23\n27\n38\n40\n47\n55\n57\n71\n73\n77\n79\n80\n\n'],   06 10 13 14 15 17 21 22 23 27 38 40 47 55 57 71 73 77 79 80   
"Fri, Nov 04, 1994",['\n\n10\n15\n19\n21\n22\n26\n31\n35\n42\n43\n46\n47\n48\n54\n61\n62\n63\n64\n68\n76\n\n'],   10 15 19 21 22 26 31 35 42 43 46 47 48 54 61 62 63 64 68 76   
"Thu, Nov 03, 1994",['\n\n05\n13\n15\n17\n21\n26\n31\n37\n38\n43\n45\n50\n54\n58\n59\n64\n72\n73\n76\n77\n\n'],   05 13 15 17 21 26 31 37 38 43 45 50 54 58 59 64 72 73 76 77   
"Wed, Nov 02, 1994",['\n\n12\n14\n17\n19\n31\n33\n34\n37\n41\n42\n43\n47\n56\n58\n68\n69\n70\n72\n73\n77\n\n'],   12 14 17 19 31 33 34 37 41 42 43 47 56 58 68 69 70 72 73 77   
"Tue, Nov 01, 1994",['\n\n06\n08\n10\n11\n12\n22\n27\n31\n38\n41\n43\n44\n50\n53\n55\n64\n68\n73\n75\n79\n\n'],   06 08 10 11 12 22 27 31 38 41 43 44 50 53 55 64 68 73 75 79   
"Mon, Oct 31, 1994",['\n\n08\n10\n12\n17\n22\n24\n29\n30\n31\n38\n39\n43\n47\n50\n57\n59\n64\n68\n74\n76\n\n'],   08 10 12 17 22 24 29 30 31 38 39 43 47 50 57 59 64 68 74 76   
"Sun, Oct 30, 1994",['\n\n01\n04\n05\n06\n09\n18\n25\n27\n28\n29\n33\n34\n35\n39\n43\n45\n48\n53\n54\n74\n\n'],   01 04 05 06 09 18 25 27 28 29 33 34 35 39 43 45 48 53 54 74   
"Sat, Oct 29, 1994",['\n\n01\n05\n06\n07\n14\n18\n19\n20\n23\n24\n25\n26\n45\n46\n47\n56\n59\n61\n78\n80\n\n'],   01 05 06 07 14 18 19 20 23 24 25 26 45 46 47 56 59 61 78 80   
"Fri, Oct 28, 1994",['\n\n02\n06\n09\n10\n17\n20\n24\n25\n27\n29\n30\n34\n41\n42\n46\n52\n53\n60\n75\n79\n\n'],   02 06 09 10 17 20 24 25 27 29 30 34 41 42 46 52 53 60 75 79   
"Thu, Oct 27, 1994",['\n\n01\n04\n08\n17\n18\n22\n36\n39\n45\n46\n48\n49\n50\n53\n59\n60\n66\n73\n74\n75\n\n'],   01 04 08 17 18 22 36 39 45 46 48 49 50 53 59 60 66 73 74 75   
"Wed, Oct 26, 1994",['\n\n01\n04\n05\n06\n11\n14\n22\n23\n29\n34\n35\n36\n37\n47\n54\n55\n69\n71\n74\n75\n\n'],   01 04 05 06 11 14 22 23 29 34 35 36 37 47 54 55 69 71 74 75   
"Tue, Oct 25, 1994",['\n\n03\n04\n05\n07\n09\n12\n15\n29\n30\n41\n46\n54\n56\n57\n58\n62\n64\n69\n73\n79\n\n'],   03 04 05 07 09 12 15 29 30 41 46 54 56 57 58 62 64 69 73 79   
"Mon, Oct 24, 1994",['\n\n01\n02\n03\n05\n09\n10\n15\n17\n28\n32\n38\n44\n46\n50\n54\n56\n64\n69\n70\n77\n\n'],   01 02 03 05 09 10 15 17 28 32 38 44 46 50 54 56 64 69 70 77   
"Sun, Oct 23, 1994",['\n\n09\n12\n15\n17\n18\n24\n28\n31\n42\n45\n50\n52\n62\n66\n73\n75\n76\n77\n78\n80\n\n'],   09 12 15 17 18 24 28 31 42 45 50 52 62 66 73 75 76 77 78 80   
"Sat, Oct 22, 1994",['\n\n01\n09\n10\n16\n17\n18\n23\n30\n33\n39\n46\n51\n52\n59\n61\n63\n67\n70\n77\n80\n\n'],   01 09 10 16 17 18 23 30 33 39 46 51 52 59 61 63 67 70 77 80   
"Fri, Oct 21, 1994",['\n\n09\n11\n13\n15\n27\n34\n36\n39\n45\n46\n47\n48\n52\n55\n67\n70\n71\n73\n76\n80\n\n'],   09 11 13 15 27 34 36 39 45 46 47 48 52 55 67 70 71 73 76 80   
"Thu, Oct 20, 1994",['\n\n03\n04\n05\n10\n14\n16\n21\n34\n40\n44\n50\n51\n59\n61\n63\n65\n67\n68\n69\n73\n\n'],   03 04 05 10 14 16 21 34 40 44 50 51 59 61 63 65 67 68 69 73   
"Wed, Oct 19, 1994",['\n\n08\n09\n10\n14\n16\n21\n22\n28\n30\n36\n48\n50\n58\n64\n68\n70\n74\n77\n78\n79\n\n'],   08 09 10 14 16 21 22 28 30 36 48 50 58 64 68 70 74 77 78 79   
"Tue, Oct 18, 1994",['\n\n01\n02\n10\n17\n23\n26\n28\n30\n32\n35\n45\n52\n53\n58\n60\n65\n71\n75\n77\n80\n\n'],   01 02 10 17 23 26 28 30 32 35 45 52 53 58 60 65 71 75 77 80   
"Mon, Oct 17, 1994",['\n\n05\n07\n09\n11\n24\n26\n29\n31\n38\n39\n42\n47\n52\n56\n57\n58\n59\n60\n63\n71\n\n'],   05 07 09 11 24 26 29 31 38 39 42 47 52 56 57 58 59 60 63 71   
"Sun, Oct 16, 1994",['\n\n04\n07\n10\n12\n14\n17\n25\n26\n28\n38\n40\n43\n45\n46\n47\n52\n68\n71\n78\n79\n\n'],   04 07 10 12 14 17 25 26 28 38 40 43 45 46 47 52 68 71 78 79   
"Sat, Oct 15, 1994",['\n\n01\n02\n08\n10\n12\n13\n16\n18\n30\n31\n42\n46\n52\n55\n58\n65\n67\n74\n77\n78\n\n'],   01 02 08 10 12 13 16 18 30 31 42 46 52 55 58 65 67 74 77 78   
"Fri, Oct 14, 1994",['\n\n04\n12\n16\n18\n23\n27\n33\n39\n42\n45\n48\n54\n56\n62\n64\n65\n69\n71\n74\n78\n\n'],   04 12 16 18 23 27 33 39 42 45 48 54 56 62 64 65 69 71 74 78   
"Thu, Oct 13, 1994",['\n\n12\n13\n18\n19\n23\n26\n28\n29\n45\n48\n51\n54\n57\n59\n64\n65\n71\n72\n76\n80\n\n'],   12 13 18 19 23 26 28 29 45 48 51 54 57 59 64 65 71 72 76 80   
"Wed, Oct 12, 1994",['\n\n02\n04\n08\n15\n16\n17\n18\n19\n30\n31\n34\n47\n49\n52\n53\n62\n63\n64\n71\n72\n\n'],   02 04 08 15 16 17 18 19 30 31 34 47 49 52 53 62 63 64 71 72   
"Tue, Oct 11, 1994",['\n\n03\n05\n06\n07\n13\n22\n23\n24\n25\n33\n38\n42\n53\n60\n65\n66\n69\n72\n73\n77\n\n'],   03 05 06 07 13 22 23 24 25 33 38 42 53 60 65 66 69 72 73 77   
"Mon, Oct 10, 1994",['\n\n06\n08\n09\n10\n12\n19\n26\n27\n31\n33\n36\n38\n39\n46\n48\n50\n52\n64\n69\n80\n\n'],   06 08 09 10 12 19 26 27 31 33 36 38 39 46 48 50 52 64 69 80   
"Sun, Oct 09, 1994",['\n\n04\n12\n23\n25\n31\n32\n38\n39\n40\n46\n47\n48\n50\n53\n54\n68\n69\n73\n75\n77\n\n'],   04 12 23 25 31 32 38 39 40 46 47 48 50 53 54 68 69 73 75 77   
"Sat, Oct 08, 1994",['\n\n03\n08\n12\n15\n17\n20\n21\n24\n31\n39\n43\n51\n53\n58\n59\n63\n71\n74\n75\n79\n\n'],   03 08 12 15 17 20 21 24 31 39 43 51 53 58 59 63 71 74 75 79   
"Fri, Oct 07, 1994",['\n\n04\n08\n09\n10\n15\n18\n20\n25\n27\n31\n33\n35\n51\n53\n55\n56\n64\n65\n72\n73\n\n'],   04 08 09 10 15 18 20 25 27 31 33 35 51 53 55 56 64 65 72 73   
"Thu, Oct 06, 1994",['\n\n03\n04\n09\n10\n17\n18\n20\n21\n22\n31\n41\n46\n47\n48\n53\n55\n58\n72\n74\n79\n\n'],   03 04 09 10 17 18 20 21 22 31 41 46 47 48 53 55 58 72 74 79   
"Wed, Oct 05, 1994",['\n\n02\n12\n14\n23\n31\n32\n34\n36\n37\n39\n42\n43\n46\n48\n58\n60\n64\n66\n73\n79\n\n'],   02 12 14 23 31 32 34 36 37 39 42 43 46 48 58 60 64 66 73 79   
"Tue, Oct 04, 1994",['\n\n09\n11\n13\n21\n23\n26\n27\n28\n40\n44\n48\n50\n55\n63\n68\n69\n76\n77\n78\n79\n\n'],   09 11 13 21 23 26 27 28 40 44 48 50 55 63 68 69 76 77 78 79   
"Mon, Oct 03, 1994",['\n\n02\n04\n10\n21\n24\n26\n29\n32\n35\n43\n44\n58\n59\n61\n62\n66\n67\n69\n71\n80\n\n'],   02 04 10 21 24 26 29 32 35 43 44 58 59 61 62 66 67 69 71 80   
"Sun, Oct 02, 1994",['\n\n05\n08\n10\n11\n18\n23\n27\n31\n32\n36\n43\n47\n48\n49\n50\n52\n74\n76\n77\n79\n\n'],   05 08 10 11 18 23 27 31 32 36 43 47 48 49 50 52 74 76 77 79   
"Sat, Oct 01, 1994",['\n\n02\n05\n11\n19\n23\n26\n29\n33\n34\n40\n41\n42\n47\n48\n51\n52\n54\n67\n70\n80\n\n'],   02 05 11 19 23 26 29 33 34 40 41 42 47 48 51 52 54 67 70 80   
"Fri, Sep 30, 1994",['\n\n06\n15\n19\n26\n27\n32\n38\n40\n44\n45\n53\n56\n57\n60\n61\n63\n68\n74\n75\n76\n\n'],   06 15 19 26 27 32 38 40 44 45 53 56 57 60 61 63 68 74 75 76   
"Thu, Sep 29, 1994",['\n\n02\n05\n14\n19\n23\n24\n26\n30\n34\n35\n41\n44\n53\n63\n64\n67\n68\n72\n74\n78\n\n'],   02 05 14 19 23 24 26 30 34 35 41 44 53 63 64 67 68 72 74 78   
"Wed, Sep 28, 1994",['\n\n01\n05\n07\n10\n11\n14\n17\n23\n27\n29\n38\n43\n44\n45\n48\n51\n52\n55\n61\n68\n\n'],   01 05 07 10 11 14 17 23 27 29 38 43 44 45 48 51 52 55 61 68   
"Tue, Sep 27, 1994",['\n\n01\n02\n04\n11\n12\n17\n22\n25\n29\n32\n33\n35\n37\n48\n51\n53\n63\n69\n72\n79\n\n'],   01 02 04 11 12 17 22 25 29 32 33 35 37 48 51 53 63 69 72 79   
"Mon, Sep 26, 1994",['\n\n01\n12\n19\n20\n23\n26\n28\n31\n32\n46\n49\n54\n58\n59\n62\n68\n72\n74\n79\n80\n\n'],   01 12 19 20 23 26 28 31 32 46 49 54 58 59 62 68 72 74 79 80   
"Sun, Sep 25, 1994",['\n\n12\n14\n16\n22\n24\n27\n31\n36\n41\n48\n53\n61\n64\n67\n69\n70\n71\n73\n75\n80\n\n'],   12 14 16 22 24 27 31 36 41 48 53 61 64 67 69 70 71 73 75 80   
"Sat, Sep 24, 1994",['\n\n02\n05\n12\n13\n16\n21\n27\n30\n35\n36\n37\n38\n39\n47\n55\n56\n58\n67\n78\n79\n\n'],   02 05 12 13 16 21 27 30 35 36 37 38 39 47 55 56 58 67 78 79   
"Fri, Sep 23, 1994",['\n\n09\n16\n18\n20\n21\n26\n34\n38\n41\n42\n52\n53\n63\n65\n66\n69\n70\n71\n73\n74\n\n'],   09 16 18 20 21 26 34 38 41 42 52 53 63 65 66 69 70 71 73 74   
"Thu, Sep 22, 1994",['\n\n04\n10\n17\n21\n23\n29\n31\n34\n36\n39\n40\n41\n44\n48\n50\n54\n69\n73\n74\n79\n\n'],   04 10 17 21 23 29 31 34 36 39 40 41 44 48 50 54 69 73 74 79   
"Wed, Sep 21, 1994",['\n\n03\n04\n05\n06\n08\n10\n17\n27\n32\n34\n35\n40\n41\n43\n51\n54\n56\n57\n64\n76\n\n'],   03 04 05 06 08 10 17 27 32 34 35 40 41 43 51 54 56 57 64 76   
"Tue, Sep 20, 1994",['\n\n02\n05\n07\n18\n20\n27\n28\n31\n39\n40\n44\n49\n58\n62\n67\n70\n71\n73\n77\n78\n\n'],   02 05 07 18 20 27 28 31 39 40 44 49 58 62 67 70 71 73 77 78   
"Mon, Sep 19, 1994",['\n\n01\n05\n12\n14\n15\n16\n18\n20\n22\n24\n26\n28\n32\n52\n58\n59\n61\n71\n74\n79\n\n'],   01 05 12 14 15 16 18 20 22 24 26 28 32 52 58 59 61 71 74 79   
"Sun, Sep 18, 1994",['\n\n09\n16\n24\n32\n36\n38\n39\n44\n46\n56\n58\n59\n61\n64\n68\n70\n72\n74\n77\n78\n\n'],   09 16 24 32 36 38 39 44 46 56 58 59 61 64 68 70 72 74 77 78   
"Sat, Sep 17, 1994",['\n\n02\n07\n12\n15\n16\n17\n19\n22\n26\n27\n29\n32\n34\n42\n45\n47\n52\n62\n68\n72\n\n'],   02 07 12 15 16 17 19 22 26 27 29 32 34 42 45 47 52 62 68 72   
"Fri, Sep 16, 1994",['\n\n08\n09\n17\n21\n26\n30\n32\n34\n41\n43\n45\n46\n48\n64\n65\n67\n68\n69\n73\n79\n\n'],   08 09 17 21 26 30 32 34 41 43 45 46 48 64 65 67 68 69 73 79   
"Thu, Sep 15, 1994",['\n\n03\n08\n12\n15\n16\n23\n32\n33\n34\n38\n41\n43\n51\n57\n59\n60\n61\n63\n65\n73\n\n'],   03 08 12 15 16 23 32 33 34 38 41 43 51 57 59 60 61 63 65 73   
"Wed, Sep 14, 1994",['\n\n01\n04\n20\n21\n22\n23\n26\n32\n36\n42\n43\n47\n51\n52\n60\n63\n65\n69\n73\n74\n\n'],   01 04 20 21 22 23 26 32 36 42 43 47 51 52 60 63 65 69 73 74   
"Tue, Sep 13, 1994",['\n\n03\n07\n10\n11\n12\n13\n16\n21\n23\n25\n26\n28\n29\n35\n48\n57\n58\n62\n77\n80\n\n'],   03 07 10 11 12 13 16 21 23 25 26 28 29 35 48 57 58 62 77 80   
